Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,official_video,EnergyLiveness,,,,,,,,,, 
album,0.788,0.814,-3.822,0.217,0.562,0,0.208,0.665,97.982,true,3.91346153846154,,,,,,,,,,
album,0.736,0.727,-4.642,0.0571,0.0584,0.00000191,0.0976,0.644,94.048,false,7.44877049180328,,,,,,,,,,
single,0.625,0.839,-4.824,0.0927,0.00762,0.0000235,0.464,0.771,184.08,false,1.80818965517241,,,,,,,,,,
album,0.803,0.779,-4.449,0.0694,0.066,0.0000223,0.111,0.317,94.009,false,7.01801801801802,,,,,,,,,,
single,0.687,0.781,-4.657,0.0944,0.166,0.00000432,0.255,0.655,180.1,false,3.06274509803922,,,,,,,,,,
album,0.868,0.764,-6.574,0.167,0.119,0.00143,0.0918,0.397,96.994,false,8.32244008714597,,,,,,,,,,
album,0.627,0.768,-5.296,0.0325,0.00291,0,0.0598,0.237,127.953,false,12.8428093645485,,,,,,,,,,
album,0.686,0.722,-5.4,0.256,0.108,0,0.494,0.515,94.006,false,1.46153846153846,,,,,,,,,,
album,0.815,0.757,-6.16,0.039,0.382,0.00000328,0.147,0.734,104.986,false,5.14965986394558,,,,,,,,,,
single,0.691,0.894,-1.681,0.115,0.291,0,0.104,0.623,184.019,false,8.59615384615385,,,,,,,,,,
single,0.376,0.43,-6.585,0.0328,0.0902,0,0.0912,0.129,77.599,true,4.71491228070175,,,,,,,,,,
compilation,0.672,0.322,-17.669,0.0339,0.144,0.0000296,0.074,0.496,113.852,true,4.35135135135135,,,,,,,,,,
album,0.274,0.144,-14.516,0.0482,0.92,0.000388,0.29,0.302,61.551,true,0.496551724137931,,,,,,,,,,
compilation,0.477,0.6,-5.652,0.0324,0.271,0,0.112,0.29,152.062,true,5.35714285714286,,,,,,,,,,
album,0.511,0.475,-14.667,0.161,0.708,0,0.105,0.819,98.957,true,4.52380952380952,,,,,,,,,,
compilation,0.474,0.82,-7.699,0.243,0.493,0,0.0978,0.697,164.718,true,8.38445807770961,,,,,,,,,,
compilation,0.684,0.481,-10.305,0.0391,0.228,0,0.157,0.48,121.208,false,3.06369426751592,,,,,,,,,,
album,0.273,0.227,-15.742,0.0351,0.848,0.00000231,0.102,0.142,129.272,true,2.22549019607843,,,,,,,,,,
compilation,0.435,0.391,-13.062,0.162,0.814,0,0.0885,0.583,73.531,false,4.4180790960452,,,,,,,,,,
compilation,0.555,0.692,-4.767,0.0277,0.0864,0.0000325,0.232,0.313,88.995,true,2.98275862068966,,,,,,,,,,
album,0.733,0.69,-5.529,0.0427,0.0635,0.00000118,0.105,0.31,116.992,true,6.57142857142857,,,,,,,,,,
album,0.526,0.606,-5.3,0.259,0.152,0.00000236,0.194,0.492,116.622,true,3.12371134020619,,,,,,,,,,
album,0.696,0.454,-6.756,0.153,0.123,0,0.155,0.136,92.928,true,2.92903225806452,,,,,,,,,,
